ts,loss,acc,val_loss,val_acc
1571330325,0.0673503279686,0.91,0.170489102602,0.75
1571330325,0.12522238493,0.84,0.161322936416,0.74
1571330325,0.136315569282,0.82,0.156507670879,0.79
1571330326,0.112358577549,0.82,0.176322564483,0.76
1571330326,0.132594898343,0.8,0.164484977722,0.77
1571330326,0.135525792837,0.82,0.152939841151,0.76
1571330326,0.11435610801,0.88,0.111813150346,0.86
1571330326,0.121115550399,0.81,0.153021648526,0.78
1571330326,0.117672368884,0.85,0.152078658342,0.77
1571330327,0.132664561272,0.79,0.133107289672,0.8
1571330327,0.122728228569,0.84,0.145428732038,0.75
1571330327,0.165464505553,0.76,0.15727058053,0.8
1571330328,0.124133035541,0.81,0.159357398748,0.78
1571330328,0.11792126298,0.83,0.158586725593,0.76
1571330328,0.127305433154,0.83,0.181240156293,0.74
1571330328,0.14007806778,0.8,0.122584417462,0.81
1571330328,0.138373404741,0.78,0.151356399059,0.76
1571330329,0.131490290165,0.8,0.172970220447,0.76
1571330329,0.112967066467,0.82,0.179460927844,0.73
1571330329,0.130056276917,0.77,0.171021819115,0.73
1571330329,0.126294240355,0.79,0.153408184648,0.76
1571330329,0.132050290704,0.85,0.113416314125,0.83
1571330329,0.107684224844,0.85,0.19865308702,0.71
1571330330,0.137566104531,0.83,0.175402566791,0.74
1571330330,0.164217755198,0.78,0.132266953588,0.85
1571330330,0.123246207833,0.82,0.156742021441,0.8
1571330330,0.111722268164,0.85,0.120185725391,0.84
1571330330,0.149246260524,0.82,0.134456083179,0.78
1571330330,0.161454826593,0.78,0.194160759449,0.68
1571330331,0.118183769286,0.86,0.151407003403,0.78
1571330331,0.103421770036,0.88,0.144631117582,0.77
1571330331,0.148830235004,0.77,0.152949079871,0.79
1571330331,0.107372634113,0.86,0.157252401114,0.75
1571330331,0.122180327773,0.8,0.143361315131,0.79
1571330331,0.129679724574,0.81,0.171812474728,0.78
1571330331,0.108773007989,0.84,0.190139710903,0.7
1571330332,0.119819633663,0.82,0.169530764222,0.75
1571330332,0.17853564024,0.77,0.180567502975,0.74
1571330332,0.125146314502,0.84,0.169467255473,0.74
1571330332,0.123545050621,0.86,0.221418231726,0.67
1571330332,0.175042405725,0.76,0.184110179543,0.73
1571330332,0.134505793452,0.84,0.18920211494,0.71
1571330333,0.137068703771,0.8,0.172974705696,0.74
1571330333,0.147432565689,0.76,0.145938977599,0.8
1571330333,0.15395578742,0.78,0.147218957543,0.79
1571330333,0.107050396502,0.85,0.181451186538,0.75
1571330333,0.136992111802,0.8,0.152566760778,0.77
1571330333,0.145038157701,0.79,0.161049798131,0.75
1571330334,0.136324122548,0.81,0.145421206951,0.8
1571330334,0.133817985654,0.82,0.15415327251,0.79
1571330334,0.0943088382483,0.85,0.163496628404,0.77
1571330334,0.13811545074,0.84,0.167818069458,0.75
1571330334,0.113025352359,0.86,0.156121790409,0.75
1571330334,0.130815565586,0.79,0.19105412066,0.71
1571330334,0.130299657583,0.79,0.145799189806,0.77
1571330335,0.0922282710671,0.88,0.154020026326,0.78
1571330335,0.146257981658,0.8,0.184447199106,0.7
1571330335,0.136305972934,0.84,0.154371246696,0.75
1571330335,0.141966670752,0.82,0.160563081503,0.74
1571330335,0.0913310796022,0.89,0.182914689183,0.75
1571330335,0.11379648,0.84,0.190308228135,0.71
1571330336,0.146798372269,0.81,0.196762353182,0.72
1571330336,0.102681711316,0.87,0.144433170557,0.79
1571330336,0.125605925918,0.81,0.145406424999,0.78
1571330336,0.147677093744,0.79,0.189759194851,0.72
1571330336,0.101922959089,0.85,0.160722747445,0.76
1571330337,0.138619080186,0.81,0.156650602818,0.75
1571330337,0.114792995155,0.83,0.160133138299,0.75
1571330337,0.139964982867,0.84,0.156332418323,0.74
1571330337,0.140550598502,0.81,0.173548281193,0.75
1571330337,0.126966282725,0.8,0.137101098895,0.82
1571330337,0.127037540078,0.81,0.170066103339,0.75
1571330338,0.152317017317,0.77,0.14233790338,0.79
1571330338,0.113579615951,0.83,0.205575704575,0.72
